id	emotion
34170_0016_A_133	0,0,0,0,0,0
34170_0016_A_134	0,0,0,0,0,0
34170_0016_A_135	0,0,0,0,0,0
34170_0016_A_136	0,0,0,0,0,0
34170_0017_A_139	0,0,0,0,0,0
34170_0017_A_140	0,0,0,0,0,0
34170_0017_A_141	0,0,0,0,0,0
34170_0017_A_142	0,0,0,0,0,0
34170_0017_A_143	0,0,0,0,0,0
34170_0017_A_144	0,0,0,0,0,0
34170_0017_A_145	0,0,0,0,0,0
34170_0017_A_146	0,0,0,0,0,0
34170_0017_A_147	0,0,0,0,0,0
34170_0017_A_148	0,0,0,0,0,0
34170_0017_A_149	0,0,0,0,0,0
34170_0017_A_150	0,0,0,0,0,0
34170_0017_A_151	0,0,0,0,0,0
34170_0017_A_152	0,0,0,0,0,0
34170_0017_A_153	0,0,0,0,0,0
34170_0017_A_154	0,0,0,0,0,0
34170_0017_A_155	0,0,0,0,0,0
34170_0017_A_156	0,0,0,0,0,0
34170_0017_A_157	0,0,0,0,0,0
34170_0017_A_158	0,0,0,0,0,0
34170_0017_A_159	0,0,0,0,0,0
34170_0017_A_160	0,0,0,0,0,0
34170_0017_A_161	0,0,0,0,0,0
34170_0017_A_162	0,0,0,0,0,0
34170_0017_A_163	0,0,0,0,0,0
34170_0017_A_164	0,0,0,0,0,0
34170_0017_A_165	0,0,0,0,0,0
34170_0017_A_166	0,0,0,0,0,0
34170_0017_A_167	0,0,0,0,0,0
34170_0017_A_168	0,0,0,0,0,0
34170_0017_A_169	0,0,0,0,0,0
34170_0017_A_173	0,0,0,0,0,0
34170_0017_A_170	0,0,0,0,0,0
34170_0017_A_172	0,0,0,0,0,0
34170_0017_A_175	0,0,0,0,0,0
34170_0017_A_176	0,0,0,0,0,0
34170_0017_A_178	0,0,0,0,0,0
34170_0017_A_179	0,0,0,0,0,0
34170_0017_A_181	0,0,0,0,0,0
34170_0017_A_182	0,0,0,0,0,0
34170_0017_A_184	0,0,0,0,0,0
34170_0017_A_185	0,0,0,0,0,0
34170_0017_A_187	0,0,0,0,0,0
34170_0017_A_188	0,0,0,0,0,0
34170_0017_A_189	0,0,0,0,0,0
34170_0017_A_191	0,0,0,0,0,0
34170_0017_A_192	0,0,0,0,0,0
34170_0017_A_193	0,0,0,0,0,0
34170_0017_A_194	0,0,0,0,0,0
34170_0017_A_195	0,0,0,0,0,0
34170_0017_A_196	0,0,0,0,0,0
34170_0017_A_198	0,0,0,0,0,0
34170_0017_A_199	0,0,0,0,0,0
34170_0017_A_200	0,0,0,0,0,0
34170_0019_A_207	0,0,0,0,0,0
34170_0019_A_208	0,0,0,0,0,0
34170_0019_A_209	0,0,0,0,0,0
34170_0019_A_210	0,0,0,0,0,0
34170_0019_A_217	0,0,0,0,0,0
34170_0019_A_219	0,0,0,0,0,0
34170_0019_A_225	0,0,0,0,0,0
34170_0019_A_226	0,0,0,0,0,0
34170_0019_A_231	0,0,0,0,0,0
34170_0020_A_238	0,0,0,0,0,0
34170_0020_A_239	0,0,0,0,0,0
34170_0020_A_240	0,0,0,0,0,0
34170_0020_A_241	0,0,0,0,0,0
34170_0020_A_242	0,0,0,0,0,0
34170_0020_A_243	0,0,0,0,0,0
34170_0020_A_246	0,0,0,0,0,0
34170_0020_A_247	0,0,0,0,0,0
34170_0020_A_251	0,0,0,0,0,0
34170_0020_A_252	0,0,0,0,0,0
34170_0021_A_255	0,0,0,0,0,0
34170_0021_A_257	0,0,0,0,0,0
34170_0021_A_259	0,0,0,0,0,0
34170_0021_A_261	0,0,0,0,0,0
34170_0021_A_262	0,0,0,0,0,0
34170_0022_A_265	0,0,0,0,0,0
34170_0022_A_266	0,0,0,0,0,0
34170_0022_A_267	0,0,0,0,0,0
34170_0022_A_268	0,0,0,0,0,0
34170_0022_A_269	0,0,0,0,0,0
34170_0022_A_270	0,0,0,0,0,0
34170_0022_A_271	0,0,0,0,0,0
34170_0022_A_272	0,0,0,0,0,0
34170_0022_A_273	0,0,0,0,0,0
34170_0022_A_276	0,0,0,0,0,0
34170_0022_A_279	0,0,0,0,0,0
34170_0022_A_280	0,0,0,0,0,0
34170_0022_A_281	0,0,0,0,0,0
34170_0022_A_282	0,0,0,0,0,0
34170_0022_A_283	0,0,0,0,0,0
34170_0022_A_284	0,0,0,0,0,0
34170_0022_A_285	0,0,0,0,0,0
34170_0022_A_286	0,0,0,0,0,0
34170_0022_A_287	0,0,0,0,0,0
34170_0022_A_288	0,0,0,0,0,0
34170_0022_A_291	0,0,0,0,0,0
34170_0022_A_292	0,0,0,0,0,0
34170_0022_A_293	0,0,0,0,0,0
34170_0022_A_302	0,0,0,0,0,0
34170_0022_A_295	0,0,0,0,0,0
34170_0022_A_298	0,0,0,0,0,0
34170_0022_A_299	0,0,0,0,0,0
34170_0022_A_300	0,0,0,0,0,0
34170_0022_A_301	0,0,0,0,0,0
34170_0022_A_303	0,0,0,0,0,0
34170_0022_A_304	0,0,0,0,0,0
34170_0022_A_305	0,0,0,0,0,0
34170_0022_A_308	0,0,0,0,0,0
34170_0022_A_309	0,0,0,0,0,0
34170_0022_A_310	0,0,0,0,0,0
34170_0022_A_311	0,0,0,0,0,0
34170_0022_A_312	0,0,0,0,0,0
34170_0022_A_315	0,0,0,0,0,0
34170_0022_A_316	0,0,0,0,0,0
34170_0022_A_319	0,0,0,0,0,0
34170_0022_A_322	0,0,0,0,0,0
34170_0022_A_323	0,0,0,0,0,0
34170_0022_A_324	0,0,0,0,0,0
34170_0022_A_327	0,0,0,0,0,0
34170_0022_A_328	0,0,0,0,0,0
34170_0022_A_329	0,0,0,0,0,0
34170_0022_A_330	0,0,0,0,0,0
34170_0022_A_331	0,0,0,0,0,0
34170_0022_A_334	0,0,0,0,0,0
34170_0022_A_335	0,0,0,0,0,0
34170_0022_A_336	0,0,0,0,0,0
34170_0022_A_339	0,0,0,0,0,0
34170_0022_A_340	0,0,0,0,0,0
34170_0022_A_341	0,0,0,0,0,0
34170_0022_A_342	0,0,0,0,0,0
34170_0022_A_343	0,0,0,0,0,0
34170_0022_A_344	0,0,0,0,0,0
34170_0022_A_345	0,0,0,0,0,0
34170_0023_A_347	0,0,0,0,0,0
34170_0023_A_351	0,0,0,0,0,0
34170_0025_A_355	0,0,0,0,0,0
34170_0025_A_356	0,0,0,0,0,0
34170_0025_A_357	0,0,0,0,0,0
34170_0025_A_358	0,0,0,0,0,0
34170_0025_A_359	0,0,0,0,0,0
34170_0025_A_360	0,0,0,0,0,0
34170_0025_A_361	0,0,0,0,0,0
34170_0025_A_362	0,0,0,0,0,0
34170_0025_A_363	0,0,0,0,0,0
34170_0025_A_364	0,0,0,0,0,0
34170_0025_A_365	0,0,0,0,0,0
34170_0026_A_367	0,0,0,0,0,0
34170_0027_A_369	0,0,0,0,0,0
34170_0027_A_370	0,0,0,0,0,0
34170_0027_A_371	0,0,0,0,0,0
34170_0027_A_372	0,0,0,0,0,0
34170_0027_A_373	0,0,0,0,0,0
34170_0027_A_374	0,0,0,0,0,0
34170_0028_A_376	0,0,0,0,0,0
34170_0028_A_377	0,0,0,0,0,0
34170_0028_A_378	0,0,0,0,0,0
34170_0028_A_379	0,0,0,0,0,0
34170_0028_A_380	0,0,0,0,0,0
34170_0028_A_381	0,0,0,0,0,0
34170_0028_A_382	0,0,0,0,0,0
34170_0028_A_383	0,0,0,0,0,0
34170_0028_A_384	0,0,0,0,0,0
34170_0028_A_385	0,0,0,0,0,0
34170_0028_A_386	0,0,0,0,0,0
34170_0028_A_387	0,0,0,0,0,0
34170_0028_A_388	0,0,0,0,0,0
34170_0028_A_389	0,0,0,0,0,0
34170_0029_A_396	0,0,0,0,0,0
34170_0029_A_400	0,0,0,0,0,0
34170_0029_A_401	0,0,0,0,0,0
34170_0029_A_404	0,0,0,0,0,0
34170_0029_A_405	0,0,0,0,0,0
34170_0029_A_407	0,0,0,0,0,0
34170_0029_A_408	0,0,0,0,0,0
34170_0029_A_412	0,0,0,0,0,0
34170_0029_A_413	0,0,0,0,0,0
34170_0029_A_414	0,0,0,0,0,0
34170_0029_A_422	0,0,0,0,0,0
34170_0029_A_423	0,0,0,0,0,0
34170_0029_A_426	0,0,0,0,0,0
34170_0029_A_427	0,0,0,0,0,0
34170_0029_A_428	0,0,0,0,0,0
34170_0029_A_429	0,0,0,0,0,0
34170_0029_A_431	0,0,0,0,0,0
34170_0029_A_432	0,0,0,0,0,0
34170_0029_A_436	0,0,0,0,0,0
34170_0029_A_440	0,0,0,0,0,0
34170_0029_A_443	0,0,0,0,0,0
34170_0029_A_444	0,0,0,0,0,0
34170_0029_A_445	0,0,0,0,0,0
34170_0029_A_446	0,0,0,0,0,0
34170_0029_A_447	0,0,0,0,0,0
34170_0029_A_450	0,0,0,0,0,0
34170_0030_A_457	0,0,0,0,0,0
34170_0030_A_458	0,0,0,0,0,0
34170_0030_A_459	0,0,0,0,0,0
34170_0030_A_467	0,0,0,0,0,0
34170_0030_A_479	0,0,0,0,0,0
34170_0030_A_480	0,0,0,0,0,0
34170_0030_A_481	0,0,0,0,0,0
34170_0033_A_496	0,0,0,0,0,0
34170_0033_A_497	0,0,0,0,0,0
34170_0033_A_498	0,0,0,0,0,0
34170_0033_A_499	0,0,0,0,0,0
34170_0033_A_500	0,0,0,0,0,0
34170_0033_A_502	0,0,0,0,0,0
34170_0033_A_503	0,0,0,0,0,0
34170_0033_A_504	0,0,0,0,0,0
34170_0033_A_505	0,0,0,0,0,0
34170_0033_A_506	0,0,0,0,0,0
34170_0033_A_508	0,0,0,0,0,0
34170_0033_A_509	0,0,0,0,0,0
34170_0033_A_510	0,0,0,0,0,0
34170_0033_A_511	0,0,0,0,0,0
34170_0034_A_514	0,0,0,0,0,0
34170_0035_A_516	0,0,0,0,0,0
34170_0035_A_517	0,0,0,0,0,0
34170_0035_A_518	0,0,0,0,0,0
34170_0035_A_519	0,0,0,0,0,0
34170_0035_A_520	0,0,0,0,0,0
34170_0035_A_521	0,0,0,0,0,0
34170_0035_A_522	0,0,0,0,0,0
34170_0035_A_523	0,0,0,0,0,0
34170_0036_A_527	0,0,0,0,0,0
34170_0036_A_533	0,0,0,0,0,0
34170_0036_A_535	0,0,0,0,0,0
34170_0036_A_539	0,0,0,0,0,0
34170_0036_A_543	0,0,0,0,0,0
34170_0036_A_547	0,0,0,0,0,0
34170_0037_A_549	0,0,0,0,0,0
34170_0039_A_555	0,0,0,0,0,0
34170_0039_A_557	0,0,0,0,0,0
34170_0041_A_565	0,0,0,0,0,0
34170_0041_A_569	0,0,0,0,0,0
34170_0041_A_572	0,0,0,0,0,0
34170_0041_A_573	0,0,0,0,0,0
34170_0041_A_575	0,0,0,0,0,0
34170_0043_A_587	0,0,0,0,0,0
34170_0043_A_590	0,0,0,0,0,0
34170_0043_A_593	0,0,0,0,0,0
34170_0043_A_594	0,0,0,0,0,0
34170_0043_A_601	0,0,0,0,0,0
34170_0043_A_602	0,0,0,0,0,0
34170_0043_A_603	0,0,0,0,0,0
34170_0043_A_604	0,0,0,0,0,0
34170_0043_A_605	0,0,0,0,0,0
34170_0043_A_606	0,0,0,0,0,0
34170_0043_A_607	0,0,0,0,0,0
34170_0044_A_615	0,0,0,0,0,0
34170_0044_A_618	0,0,0,0,0,0
34170_0044_A_619	0,0,0,0,0,0
34170_0044_A_624	0,0,0,0,0,0
34170_0044_A_628	0,0,0,0,0,0
34170_0044_A_629	0,0,0,0,0,0
34170_0044_A_630	0,0,0,0,0,0
34170_0044_A_634	0,0,0,0,0,0
34170_0044_A_635	0,0,0,0,0,0
34170_0044_A_638	0,0,0,0,0,0
34170_0044_A_639	0,0,0,0,0,0
34170_0044_A_640	0,0,0,0,0,0
34170_0044_A_641	0,0,0,0,0,0
34170_0044_A_642	0,0,0,0,0,0
34170_0044_A_645	0,0,0,0,0,0
34170_0044_A_646	0,0,0,0,0,0
34170_0044_A_651	0,0,0,0,0,0
34170_0044_A_652	0,0,0,0,0,0
34170_0044_A_653	0,0,0,0,0,0
34170_0044_A_654	0,0,0,0,0,0
34170_0044_A_655	0,0,0,0,0,0
34170_0044_A_656	0,0,0,0,0,0
34170_0045_A_662	0,0,0,0,0,0
34170_0045_A_663	0,0,0,0,0,0
34170_0045_A_667	0,0,0,0,0,0
34170_0045_A_664	0,0,0,0,0,0
34170_0045_A_665	0,0,0,0,0,0
34170_0047_A_675	0,0,0,0,0,0
34170_0047_A_676	0,0,0,0,0,0
34170_0047_A_677	0,0,0,0,0,0
34170_0047_A_678	0,0,0,0,0,0
34170_0047_A_679	0,0,0,0,0,0
34170_0047_A_680	0,0,0,0,0,0
34170_0047_A_681	0,0,0,0,0,0
34170_0047_A_682	0,0,0,0,0,0
34170_0047_A_683	0,0,0,0,0,0
34170_0047_A_684	0,0,0,0,0,0
34170_0049_A_690	0,0,0,0,0,0
34170_0049_A_691	0,0,0,0,0,0
34170_0049_A_692	0,0,0,0,0,0
34170_0049_A_694	0,0,0,0,0,0
34170_0049_A_695	0,0,0,0,0,0
34170_0049_A_696	0,0,0,0,0,0
34170_0049_A_697	0,0,0,0,0,0
34170_0049_A_698	0,0,0,0,0,0
34170_0049_A_699	0,0,0,0,0,0
34170_0049_A_700	0,0,0,0,0,0
34170_0049_A_701	0,0,0,0,0,0
34170_0049_A_702	0,0,0,0,0,0
34170_0049_A_703	0,0,0,0,0,0
34170_0049_A_704	0,0,0,0,0,0
34170_0049_A_705	0,0,0,0,0,0
34170_0049_A_706	0,0,0,0,0,0
34170_0049_A_707	0,0,0,0,0,0
34170_0049_A_708	0,0,0,0,0,0
34170_0049_A_709	0,0,0,0,0,0
34170_0049_A_710	0,0,0,0,0,0
34170_0050_A_713	0,0,0,0,0,0
34170_0050_A_714	0,0,0,0,0,0
34170_0050_A_717	0,0,0,0,0,0
34170_0050_A_718	0,0,0,0,0,0
34170_0050_A_719	0,0,0,0,0,0
34170_0050_A_720	0,0,0,0,0,0
34170_0050_A_721	0,0,0,0,0,0
34170_0050_A_722	0,0,0,0,0,0
34170_0050_A_723	0,0,0,0,0,0
34170_0050_A_724	0,0,0,0,0,0
34170_0050_A_725	0,0,0,0,0,0
34170_0050_A_726	0,0,0,0,0,0
34170_0050_A_727	0,0,0,0,0,0
34170_0050_A_728	0,0,0,0,0,0
34170_0050_A_729	0,0,0,0,0,0
34170_0050_A_730	0,0,0,0,0,0
34170_0050_A_731	0,0,0,0,0,0
34170_0050_A_734	0,0,0,0,0,0
34170_0050_A_735	0,0,0,0,0,0
34170_0050_A_736	0,0,0,0,0,0
34170_0050_A_737	0,0,0,0,0,0
34170_0050_A_738	0,0,0,0,0,0
34170_0050_A_741	0,0,0,0,0,0
34170_0050_A_742	0,0,0,0,0,0
34170_0050_A_743	0,0,0,0,0,0
34170_0050_A_744	0,0,0,0,0,0
34170_0050_A_752	0,0,0,0,0,0
34170_0050_A_753	0,0,0,0,0,0
34170_0050_A_755	0,0,0,0,0,0
34170_0050_A_757	0,0,0,0,0,0
34170_0050_A_759	0,0,0,0,0,0
34170_0050_A_760	0,0,0,0,0,0
34170_0050_A_761	0,0,0,0,0,0
34170_0050_A_762	0,0,0,0,0,0
34170_0050_A_765	0,0,0,0,0,0
34170_0050_A_766	0,0,0,0,0,0
34170_0050_A_771	0,0,0,0,0,0
34170_0050_A_773	0,0,0,0,0,0
34170_0051_A_776	0,0,0,0,0,0
34170_0051_A_777	0,0,0,0,0,0
34170_0051_A_778	0,0,0,0,0,0
34170_0051_A_779	0,0,0,0,0,0
34170_0051_A_780	0,0,0,0,0,0
34170_0051_A_781	0,0,0,0,0,0
34170_0051_A_782	0,0,0,0,0,0
34170_0051_A_783	0,0,0,0,0,0
34170_0051_A_784	0,0,0,0,0,0
34170_0051_A_785	0,0,0,0,0,0
34170_0051_A_786	0,0,0,0,0,0
34170_0052_A_788	0,0,0,0,0,0
34170_0052_A_790	0,0,0,0,0,0
34170_0052_A_792	0,0,0,0,0,0
34170_0052_A_793	0,0,0,0,0,0
34170_0052_A_794	0,0,0,0,0,0
34170_0052_A_795	0,0,0,0,0,0
34170_0052_A_796	0,0,0,0,0,0
34170_0052_A_798	0,0,0,0,0,0
34170_0052_A_799	0,0,0,0,0,0
34170_0052_A_800	0,0,0,0,0,0
34170_0052_A_801	0,0,0,0,0,0
34170_0052_A_802	0,0,0,0,0,0
34170_0052_A_803	0,0,0,0,0,0
34170_0052_A_804	0,0,0,0,0,0
34170_0052_A_806	0,0,0,0,0,0
34170_0052_A_807	0,0,0,0,0,0
34170_0053_A_810	0,0,0,0,0,0
34170_0053_A_811	0,0,0,0,0,0
34170_0053_A_814	0,0,0,0,0,0
34170_0053_A_815	0,0,0,0,0,0
34170_0053_A_816	0,0,0,0,0,0
34170_0053_A_818	0,0,0,0,0,0
34170_0053_A_819	0,0,0,0,0,0
34170_0054_A_822	0,0,0,0,0,0
34170_0054_A_823	0,0,0,0,0,0
34170_0054_A_824	0,0,0,0,0,0
34170_0054_A_828	0,0,0,0,0,0
34170_0054_A_829	0,0,0,0,0,0
34170_0054_A_832	0,0,0,0,0,0
34170_0054_A_835	0,0,0,0,0,0
34170_0054_A_838	0,0,0,0,0,0
34170_0054_A_839	0,0,0,0,0,0
34170_0054_A_840	0,0,0,0,0,0
34170_0054_A_843	0,0,0,0,0,0
34170_0054_A_844	0,0,0,0,0,0
34170_0054_A_845	0,0,0,0,0,0
34170_0054_A_846	0,0,0,0,0,0
34170_0054_A_847	0,0,0,0,0,0
34170_0054_A_848	0,0,0,0,0,0
34170_0054_A_849	0,0,0,0,0,0
34170_0054_A_853	0,0,0,0,0,0
34170_0054_A_854	0,0,0,0,0,0
34170_0054_A_855	0,0,0,0,0,0
34170_0054_A_856	0,0,0,0,0,0
34170_0054_A_858	0,0,0,0,0,0
34170_0054_A_862	0,0,0,0,0,0
34170_0054_A_865	0,0,0,0,0,0
34170_0054_A_866	0,0,0,0,0,0
34170_0054_A_870	0,0,0,0,0,0
34170_0055_A_874	0,0,0,0,0,0
34170_0055_A_875	0,0,0,0,0,0
34170_0055_A_876	0,0,0,0,0,0
34170_0055_A_879	0,0,0,0,0,0
34170_0055_A_880	0,0,0,0,0,0
34170_0055_A_881	0,0,0,0,0,0
34170_0055_A_884	0,0,0,0,0,0
34170_0055_A_885	0,0,0,0,0,0
34170_0055_A_890	0,0,0,0,0,0
34170_0055_A_891	0,0,0,0,0,0
34170_0055_A_892	0,0,0,0,0,0
34170_0055_A_893	0,0,0,0,0,0
34170_0055_A_894	0,0,0,0,0,0
34170_0055_A_898	0,0,0,0,0,0
34170_0055_A_902	0,0,0,0,0,0
34170_0055_A_903	0,0,0,0,0,0
34170_0055_A_910	0,0,0,0,0,0
34170_0055_A_913	0,0,0,0,0,0
34170_0055_A_914	0,0,0,0,0,0
34170_0056_A_916	0,0,0,0,0,0
34170_0056_A_918	0,0,0,0,0,0
34170_0056_A_920	0,0,0,0,0,0
34170_0056_A_921	0,0,0,0,0,0
34170_0056_A_924	0,0,0,0,0,0
34170_0056_A_925	0,0,0,0,0,0
34170_0056_A_926	0,0,0,0,0,0
34170_0056_A_927	0,0,0,0,0,0
34170_0058_A_934	0,0,0,0,0,0
34170_0058_A_935	0,0,0,0,0,0
34170_0058_A_937	0,0,0,0,0,0
34170_0058_A_939	0,0,0,0,0,0
34170_0058_A_940	0,0,0,0,0,0
34170_0059_A_951	0,0,0,0,0,0
34170_0059_A_948	0,0,0,0,0,0
34170_0059_A_962	0,0,0,0,0,0
34170_0059_A_965	0,0,0,0,0,0
34170_0059_A_966	0,0,0,0,0,0
34170_0060_A_973	0,0,0,0,0,0
34170_0060_A_975	0,0,0,0,0,0
34170_0060_A_979	0,0,0,0,0,0
34170_0060_A_980	0,0,0,0,0,0
34170_0060_A_987	0,0,0,0,0,0
34170_0060_A_988	0,0,0,0,0,0
34170_0060_A_989	0,0,0,0,0,0
34170_0060_A_990	0,0,0,0,0,0
34170_0060_A_991	0,0,0,0,0,0
34170_0060_A_992	0,0,0,0,0,0
34170_0060_A_993	0,0,0,0,0,0
34170_0060_A_997	0,0,0,0,0,0
34170_0060_A_998	0,0,0,0,0,0
34170_0060_A_999	0,0,0,0,0,0
34170_0060_A_1000	0,0,0,0,0,0
34170_0060_A_1001	0,0,0,0,0,0
34170_0060_A_1002	0,0,0,0,0,0
34170_0060_A_1003	0,0,0,0,0,0
34170_0061_A_1005	0,0,0,0,0,0
34170_0061_A_1007	0,0,0,0,0,0
34170_0061_A_1008	0,0,0,0,0,0
34170_0061_A_1009	0,0,0,0,0,0
34170_0061_A_1010	0,0,0,0,0,0
34170_0062_A_1012	0,0,0,0,0,0
34170_0062_A_1013	0,0,0,0,0,0
34170_0062_A_1014	0,0,0,0,0,0
34170_0062_A_1015	0,0,0,0,0,0
34170_0062_A_1016	0,0,0,0,0,0
34170_0062_A_1017	0,0,0,0,0,0
34170_0062_A_1018	0,0,0,0,0,0
34170_0062_A_1019	0,0,0,0,0,0
34170_0062_A_1020	0,0,0,0,0,0
34170_0063_A_1024	0,0,0,0,0,0
34170_0063_A_1030	0,0,0,0,0,0
34170_0063_A_1031	0,0,0,0,0,0
34170_0063_A_1032	0,0,0,0,0,0
34170_0063_A_1035	0,0,0,0,0,0
34170_0063_A_1043	0,0,0,0,0,0
34170_0063_A_1051	0,0,0,0,0,0
34170_0063_A_1055	0,0,0,0,0,0
34170_0063_A_1048	0,0,0,0,0,0
34170_0063_A_1056	0,0,0,0,0,0
34170_0063_A_1058	0,0,0,0,0,0
34170_0063_A_1059	0,0,0,0,0,0
34170_0063_A_1060	0,0,0,0,0,0
34170_0063_A_1061	0,0,0,0,0,0
34170_0064_A_1064	0,0,0,0,0,0
34170_0064_A_1065	0,0,0,0,0,0
34170_0066_A_1091	0,0,0,0,0,0
34170_0066_A_1093	0,0,0,0,0,0
34170_0066_A_1095	0,0,0,0,0,0
34170_0066_A_1096	0,0,0,0,0,0
34170_0067_A_1108	0,0,0,0,0,0
34170_0067_A_1110	0,0,0,0,0,0
34170_0067_A_1122	0,0,0,0,0,0
34170_0068_A_1126	0,0,0,0,0,0
34170_0068_A_1129	0,0,0,0,0,0
34170_0069_A_1131	0,0,0,0,0,0
34170_0069_A_1132	0,0,0,0,0,0
34170_0069_A_1133	0,0,0,0,0,0
34170_0069_A_1134	0,0,0,0,0,0
34170_0070_A_1137	0,0,0,0,0,0
34170_0070_A_1138	0,0,0,0,0,0
34170_0070_A_1139	0,0,0,0,0,0
34170_0070_A_1140	0,0,0,0,0,0
34170_0070_A_1141	0,0,0,0,0,0
34170_0070_A_1142	0,0,0,0,0,0
34170_0070_A_1143	0,0,0,0,0,0
34170_0070_A_1144	0,0,0,0,0,0
34170_0070_A_1145	0,0,0,0,0,0
34170_0070_A_1146	0,0,0,0,0,0
34170_0070_A_1147	0,0,0,0,0,0
34170_0070_A_1148	0,0,0,0,0,0
34170_0070_A_1149	0,0,0,0,0,0
34170_0070_A_1151	0,0,0,0,0,0
34170_0070_A_1152	0,0,0,0,0,0
34170_0070_A_1153	0,0,0,0,0,0
34170_0070_A_1154	0,0,0,0,0,0
34170_0070_A_1155	0,0,0,0,0,0
34170_0070_A_1156	0,0,0,0,0,0
34170_0070_A_1157	0,0,0,0,0,0
34170_0070_A_1158	0,0,0,0,0,0
34170_0070_A_1159	0,0,0,0,0,0
34170_0071_A_1161	0,0,0,0,0,0
34170_0071_A_1162	0,0,0,0,0,0
34170_0071_A_1164	0,0,0,0,0,0
34170_0071_A_1165	0,0,0,0,0,0
34170_0071_A_1166	0,0,0,0,0,0
34170_0072_A_1169	0,0,0,0,0,0
34170_0072_A_1172	0,0,0,0,0,0
34170_0074_A_1189	0,0,0,0,0,0
34170_0074_A_1190	0,0,0,0,0,0
34170_0074_A_1193	0,0,0,0,0,0
34170_0074_A_1195	0,0,0,0,0,0
34170_0074_A_1197	0,0,0,0,0,0
34170_0074_A_1198	0,0,0,0,0,0
34170_0074_A_1199	0,0,0,0,0,0
34170_0075_A_1216	0,0,0,0,0,0
